iteration,best_accuracy
1,0.6867612293144209
2,0.6997635933806147
3,0.6997635933806147
4,0.6997635933806148
5,0.706855791962175
6,0.706855791962175
7,0.706855791962175
8,0.706855791962175
9,0.706855791962175
10,0.706855791962175
11,0.706855791962175
12,0.706855791962175
13,0.706855791962175
14,0.706855791962175
15,0.706855791962175
16,0.706855791962175
17,0.706855791962175
18,0.706855791962175
19,0.706855791962175
20,0.706855791962175
21,0.706855791962175
22,0.706855791962175
23,0.706855791962175
24,0.706855791962175
25,0.706855791962175
